iteration,min_cost
1,6.821772703195206
2,6.6267680961433895
3,5.914282595586579
4,5.914282595586579
5,5.914282595586579
6,5.914282595586579
7,3.811537095269109
8,3.811537095269109
9,2.544101316382248
10,2.544101316382248
11,2.544101316382248
12,2.544101316382248
13,2.544101316382248
14,2.544101316382248
15,2.544101316382248
16,2.544101316382248
17,2.544101316382248
18,2.544101316382248
19,2.544101316382248
20,2.544101316382248
21,2.544101316382248
22,2.544101316382248
23,2.544101316382248
24,2.544101316382248
25,2.544101316382248
26,2.544101316382248
27,2.544101316382248
28,2.544101316382248
29,2.544101316382248
30,2.544101316382248
31,2.544101316382248
32,2.544101316382248
33,2.544101316382248
34,2.544101316382248
35,2.3146507762842514
36,2.3146507762842514
37,2.3146507762842514
38,2.3146507762842514
39,2.3146507762842514
40,2.3146507762842514
41,2.3146507762842514
42,2.3146507762842514
43,2.3146507762842514
44,2.3146507762842514
45,2.3146507762842514
46,2.3146507762842514
47,2.3146507762842514
48,2.3146507762842514
49,2.3146507762842514
50,1.6974772812339463
51,1.6974772812339463
52,1.6974772812339463
53,1.6974772812339463
54,1.6974772812339463
55,1.6974772812339463
56,1.6974772812339463
57,1.6974772812339463
58,1.6974772812339463
59,1.6974772812339463
60,1.6974772812339463
61,1.6974772812339463
62,1.6974772812339463
63,1.6974772812339463
64,1.6974772812339463
65,1.6974772812339463
66,1.6974772812339463
67,1.6974772812339463
68,1.6974772812339463
69,1.6974772812339463
70,1.6974772812339463
71,1.6974772812339463
72,1.6974772812339463
73,1.6974772812339463
74,1.6974772812339463
75,1.6974772812339463
76,1.6974772812339463
77,1.6974772812339463
78,1.6974772812339463
79,1.6974772812339463
80,1.6974772812339463
81,1.6974772812339463
82,1.6974772812339463
83,1.6974772812339463
84,1.6974772812339463
85,1.6974772812339463
86,1.6974772812339463
87,1.6974772812339463
88,1.6974772812339463
89,1.6974772812339463
90,1.6974772812339463
91,1.6974772812339463
92,1.6974772812339463
93,1.6974772812339463
94,1.6974772812339463
95,1.6974772812339463
96,1.6974772812339463
97,1.6974772812339463
98,1.6974772812339463
99,1.6974772812339463
100,1.6974772812339463
